Fund Name,Fund URL,Fund Type,Fund focus,Pledge (USD mn),Deposit (USD mn),Approval (USD mn),Disbursement (USD mn),Number of projects approved
Adaptation for Smallholder Agriculture Programme (ASAP),https://climatefundsupdate.org/the-funds/adaptation-for-smallholder-agriculture-programme-asap/,Multilateral,Adaptation,382.34,332.16,298.38,265.09,43.0
Adaptation for Smallholder Agriculture Programme (ASAP+),https://climatefundsupdate.org/the-funds/adaptation-for-smallholder-agriculture-programme-asap/,Multilateral,Multiple Foci,129.84,81.04,64.35,6.52,10.0
Adaptation Fund,https://climatefundsupdate.org/the-funds/Adaptation-fund/,Multilateral,Adaptation,2136.89,1961.38,1210.51,756.28,328.0
Amazon Fund,https://climatefundsupdate.org/the-funds/amazon-fund/,Multi Donor National,Mitigation - REDD,1925.07,1910.89,903.53,629.87,118.0
BioCarbon Fund,https://climatefundsupdate.org/the-funds/biocarbon-fund/,Multilateral,Mitigation - REDD,363.02,332.07,128.65,59.87,8.0
Central African Forest Initiative (CAFI),https://climatefundsupdate.org/the-funds/central-african-forest-initiative-cafi/,Multi Donor Regional,Mitigation - REDD,903.01,773.99,626.97,545.56,37.0
Clean Technology Fund (CTF),https://climatefundsupdate.org/the-funds/clean-technology-fund/,Multilateral,Mitigation - General,8934.01,8934.01,5776.48,2189.49,178.0
Congo Basin Forest Fund (CBFF),https://climatefundsupdate.org/the-funds/congo-basin-forest-fund/,Multi Donor Regional,Mitigation - REDD,186.02,164.65,83.11,58.91,37.0
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),https://climatefundsupdate.org/the-funds/forest-carbon-partnership-facility/,Multilateral,Mitigation - REDD,472.54,472.54,314.34,298.05,46.0
Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),https://climatefundsupdate.org/the-funds/forest-carbon-partnership-facility/,Multilateral,Mitigation - REDD,947.14,947.14,721.3,164.49,15.0
Forest Investment Program,https://climatefundsupdate.org/the-funds/forest-investment-program/,Multilateral,Mitigation - REDD,751.16,751.16,696.67,456.1,70.0
Fund for Responding to Loss and Damage (FRLD),https://climatefundsupdate.org/the-funds/fund-for-responding-to-loss-and-damage/,Multilateral,Multiple Foci,749.2,139.2,-,-,0.0
Global Environment Facility (GEF4),https://climatefundsupdate.org/the-funds/global-environment-facility-gef/,Multilateral,Multiple Foci,1082.98,1082.98,930.68,930.68,227.0
Global Environment Facility (GEF5),https://climatefundsupdate.org/the-funds/global-environment-facility-gef/,Multilateral,Multiple Foci,1152.41,1147.92,808.02,533.9,231.0
Global Environment Facility (GEF6),https://climatefundsupdate.org/the-funds/global-environment-facility-gef/,Multilateral,Multiple Foci,1117.16,1109.43,940.47,239.12,238.0
Global Environment Facility (GEF7),https://climatefundsupdate.org/the-funds/global-environment-facility-gef/,Multilateral,Multiple Foci,728.38,728.38,1733.47,2.57,243.0
Global Environment Facility (GEF8),,Multilateral,Multiple Foci,905.59,905.59,129.26,-,56.0
Global Climate Change Alliance,https://climatefundsupdate.org/the-funds/global-climate-change-alliance/,Multilateral,Multiple Foci,1652.83,1652.83,891.36,540.14,107.0
Global Energy Efficiency and Renewable Energy Fund,https://climatefundsupdate.org/the-funds/global-energy-efficiency-and-renewable-energy-fund/,Multilateral,Mitigation - General,281.5,275.5,223.59,89.07,19.0
Green Climate Fund (GCF IRM),https://climatefundsupdate.org/the-funds/green-climate-fund/,Multilateral,Multiple Foci,10322.03,8310.83,5142.91,3517.51,483.0
Green Climate Fund (GCF-1),https://climatefundsupdate.org/the-funds/green-climate-fund/,Multilateral,Multiple Foci,10002.61,9690.73,8739.65,1966.91,476.0
Green Climate Fund (GCF-2),,Multilateral,Multiple Foci,13616.28,2142.93,2607.26,59.53,118.0
Indonesia Climate Change Trust Fund (ICCTF),https://climatefundsupdate.org/the-funds/indonesia-climate-change-trust-fund/,Multi Donor National,Multiple Foci,26.17,16.7,0.0,0.0,0.0
Least Developed Countries Fund,https://climatefundsupdate.org/the-funds/least-developed-countries-fund-2/,Multilateral,Adaptation,2358.07,2218.39,1497.12,547.98,320.0
MDG Achievement Fund,https://climatefundsupdate.org/the-funds/mdg-achievement-fund-environment-and-climate-change-thematic-window/,Multilateral,Adaptation,89.5,89.5,89.52,89.52,18.0
Partnership for Market Readiness,https://climatefundsupdate.org/the-funds/partnership-for-market-readiness-2/,Multilateral,Mitigation - General,131.5,129.8,82.36,64.37,42.0
Pilot Program for Climate Resilience,https://climatefundsupdate.org/the-funds/pilot-program-for-climate-resilience-2/,Multilateral,Adaptation,1144.79,1144.79,988.81,618.07,68.0
Scaling-Up Renewable Energy Program for Low Income Countries,https://climatefundsupdate.org/the-funds/scaling-up-renewable-energy-program-for-low-income-countries/,Multilateral,Mitigation - General,774.94,774.94,673.58,296.1,94.0
Special Climate Change Fund,https://climatefundsupdate.org/the-funds/special-climate-change-fund/,Multilateral,Adaptation,459.61,421.91,289.21,204.32,75.0
UN-REDD Programme,https://climatefundsupdate.org/the-funds/un-redd-programme/,Multilateral,Mitigation - REDD,436.22,400.32,426.72,406.1,40.0
